Autor;Titel;Nr;Passage;Aussage;Code des Typs;Annotator/in;Anmerkung;E1;Relation;E2;POST
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom Marquis de Sade zu Beginn seiner Idée sur les romanswiederaufgegriffene <e2>Romandefinition</e2><rel>, die der Chevalier de Jaucourt 1762 in der </rel><e1>Encyclopédie</e1> formuliert: War für Huet das Hauptkriterium noch die Liebesthematik und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Encyclopédie about Romandefinition*;about;SH;(Roman-)Definition neues Thema? Oder ist Def. eher Genre?;Encyclopédie;, die der Chevalier de Jaucourt 1762 in der;Romandefinition;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419;"Bezeichnend ist die vom Marquis de Sade zu Beginn seiner Idée sur les romans wiederaufgegriffene Romandefinition, die der Chevalier de Jaucourt 1762 in der Encyclopédie formuliert: War für <e1>Huet</e1><rel>das Hauptkriterium noch die </rel><e2>Liebesthematik</e2> und der Roman eine ""fiction d'aventures amoureuses"" - und die Frühaufklärung hat dieser Definition sowohl mit dem libertinen als auch mit dem sentimentalen Roman entsprochen -, so bezeichnet der fleißige Encyclopédie-Mitarbeiter Jaucourt den Roman als ""récit fictif de diverses aventures merveilleuses ou vraisemblables de la vie humaine"" und stellt seine Eignung zur Vermittlung von ""choses utiles"" heraus.";Pierre-Daniel Huet topicInterest Liebe;topicInterest;SH;;Huet;das Hauptkriterium noch die ;Liebesthematik;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;419, 421;Bezeichnend ist die (...). (...) ;Pierre-Daniel Huet topicInterest Enthüllung menschliches Herz;topicInterest;SH;;Not Found;;Not Found;ND
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;421;"Die Wahrheit, die der Romanautor vor allem auch seit dem großen Einfluß des englischen Romans anstrebt, ist nicht mehr nur eine äußere und äußerliche, sondern auch und vor allem diejenige des ""coeur humain dévoilé"" (<e1>Rétif de la Bretonne</e1>).";Rétif de la Bretonne topicInterest Enthüllung menschliches Herz;topicInterest;SH;;Rétif de la Bretonne;;Not Found;ND
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen <e2>Aufstieg</e2><rel> und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei </rel><e1>Lesage</e1> (Histoire de Gil Blas de Santillane, 1715-35) und Marivaux (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Alain-René Lesage topicInterest sozialer Aufstieg;topicInterest;SH;;Lesage; und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei ;Aufstieg;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des <e2>Zufalls</e2><rel>in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei </rel><e1>Lesage</e1> (Histoire de Gil Blas de Santillane, 1715-35) und Marivaux (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Alain-René Lesage topicInterest Zufall;topicInterest;SH;;Lesage;in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei ;Zufalls;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei <e1>Lesage</e1><rel>(</rel><e2>Histoire de Gil Blas de Santillane</e2>, 1715-35) und Marivaux (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Alain-René Lesage author Histoire de Gil Blas de Santillane;author;SH;;Lesage;(;Histoire de Gil Blas de Santillane;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei <e2>Lesage</e2><rel>(</rel><e1>Histoire de Gil Blas de Santillane</e1>, 1715-35) und Marivaux (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Histoire de Gil Blas de Santillane hasAuthor Alain-René Lesage;hasAuthor;SH;;Histoire de Gil Blas de Santillane;(;Lesage;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und <e1>Marivaux</e1><rel>(</rel><e2>Le Paysan parvenu</e2>, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Pierre de Marivaux author Le Paysan parvenu;author;SH;;Marivaux;(;Le Paysan parvenu;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und <e2>Marivaux</e2><rel>(</rel><e1>Le Paysan parvenu</e1>, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Le Paysan parvenu hasAuthor Pierre de Marivaux;hasAuthor;SH;;Le Paysan parvenu;(;Marivaux;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen <e2>Aufstieg</e2><rel> und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und </rel><e1>Marivaux</e1> (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Pierre de Marivaux topicInterest sozialer Aufstieg;topicInterest;SH;;Marivaux; und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und ;Aufstieg;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des <e2>Zufalls</e2><rel>in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und </rel><e1>Marivaux</e1> (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Pierre de Marivaux topicInterest Zufall;topicInterest;SH;;Marivaux;in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und ;Zufalls;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und <e1>Marivaux</e1><rel>(Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' </rel><e2>La vie de Marianne</e2>, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Pierre de Marivaux author La vie de Marianne;author;SH;;Marivaux;"(Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' ";La vie de Marianne;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und <e2>Marivaux</e2><rel>(Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' </rel><e1>La vie de Marianne</e1>, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";La vie de Marianne hasAuthor Pierre de Marivaux;hasAuthor;SH;;La vie de Marianne;"(Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' ";Marivaux;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und <e1>Marivaux</e1><rel>(Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil </rel><e2>moralistische Verve</e2> und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Pierre de Marivaux topicInterest Moralisieren;topicInterest;SH;;Marivaux;"(Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil ";moralistische Verve;ZZZ
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und Marivaux (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil <e2>moralistische Verve</e2><rel>und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' </rel><e1>La vie de Marianne</e1>, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts Véritable histoire du Chevalier des Grieux et de Manon Lescaut (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";La vie de Marianne about Moralisieren;about;SH;;La vie de Marianne;und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' ;moralistische Verve;ZZZ
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und Marivaux (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts <e2>Véritable histoire du Chevalier des Grieux et de Manon Lescaut</e2> (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Antoine François Prévost author Véritable histoire du Chevalier des Grieux et de Manon Lescaut;author;SH;;Not Found;;Véritable histoire du Chevalier des Grieux et de Manon Lescaut;
Rieger, Dietmar;Französische Literatur. 18. Jahrhundert.;427;"Die vier bedeutendsten Romanautoren der Frühaufklärung stehen für wichtige Phänomene des Romans der ersten Jahrhunderthäflte: die Thematik des sozialen Aufstiegs und des Zufalls in einer modifizierten pikaresken Romanstruktur und zum Teil in der Tradition des komischen Realismus insbesondere bei Lesage (Histoire de Gil Blas de Santillane, 1715-35) und Marivaux (Le Paysan parvenu, 1734-35); bei diesen auch die zeitsatirische, zum Teil moralistische Verve und vor allem die Erzählung aus der Ich-Perspektive (vgl. auch Marivaux' La vie de Marianne, 1731-41); die besonderen Fortschritte in der Psychologisierung der Protagonisten, vor allem in der Vie de Marianne, in der dem ""double registre"" eine herausragende Rolle zufällt, und in Prevosts <e1>Véritable histoire du Chevalier des Grieux et de Manon Lescaut</e1> (1731), die durch die deutlichen Bezüge zur zeitgenössischen Realität (Verdinglichung der Lebens- und Liebesbeziehungen, Macht des Zufalls und des Geldes, Standesgrenzen, Korrektur des rationalistischen Optimismus, Kehrseite der individualistischen Befreiung aus normativen moralischen Bedingungen) so etwas wie einen wichtigen Aspekt der ""Dialektik der Aufklärung"" antizipiert und deren im Kontext der Mémoires d'un homme de qualité begründetet Ich-Form den extrem subjektiven Charakter der Lebensbeichte manifest werden läßt; schließlich die Form des Briefromans in Montesquieus Lettres persanes von 1721 (dem Autor zufolge ""une espèce de roman"") mit ihrer doppelten Realitätssatire, bei der die Infragestellung des Eigenen mit Hilfe des damit kontrastierenden Fremden ergänzt wird durch die Relativierung auch des Fremden.";Véritable histoire du Chevalier des Grieux et de Manon Lescaut hasAuthor Antoine François Prévost;hasAuthor;SH;;Véritable histoire du Chevalier des Grieux et de Manon Lescaut;;Not Found;
