Unnamed: 0;Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;E1;Relation;E2;Anmerkung;POST
75;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die zwischen 1750/1751 und 1772/<e2>1780</e2><rel>erscheinende </rel><e1>Encyclopédie</e1> prägt die Kernphase der französischen Hochaufklärung und versteht sich als Trägerin, aber auch schon als Erbin einer umfassenden Aufklärungsbewegung.;Encyclopédie date of publication 1780*;date of publication;SH;Encyclopédie;erscheinende ;1780;*wie Zeitraum angeben?;
76;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die zwischen 1750/1751 und 1772/1780 erscheinende <e1>Encyclopédie</e1> <rel>prägt die Kernphase der</rel> <e2>französischen Hochaufklärung</e2> und versteht sich als Trägerin, aber auch schon als Erbin einer umfassenden Aufklärungsbewegung.;Encyclopédie Epoche „französische Hochaufklärung“;Epoche;SH;Encyclopédie;prägt die Kernphase der;französischen Hochaufklärung;;
77;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die zwischen 1750/1751 und 1772/1780 erscheinende <e1>Encyclopédie</e1><rel></rel><e2>prägt</e2> die Kernphase der französischen Hochaufklärung und versteht sich als Trägerin, aber auch schon als Erbin einer umfassenden Aufklärungsbewegung.;Encyclopédie describedAs prägend;describedAs;SH;Encyclopédie;;prägt;;RTS
78;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die <e1>Aufklärung</e1><rel>historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den </rel><e2>Menschen</e2> als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.;Aufklärung* main Subject Mensch;main Subject;SH;Aufklärung;historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den ;Menschen;*geht das als Subjekt?;
79;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die <e1>Aufklärung</e1><rel>historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der </rel><e2>Medizin</e2> und Psychologie bis zur vergleichenden Ethnologie reicht.;Aufklärung* main Subject Medizin;main Subject;SH;Aufklärung;historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der ;Medizin;*geht das als Subjekt?;
80;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die <e1>Aufklärung</e1><rel>historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und </rel><e2>Psychologie</e2> bis zur vergleichenden Ethnologie reicht.;Aufklärung* main Subject Psychologie;main Subject;SH;Aufklärung;historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und ;Psychologie;*geht das als Subjekt?;
81;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;Die <e1>Aufklärung</e1><rel>historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden </rel><e2>Ethnologie</e2> reicht.;Aufklärung* main Subject Ethnologie;main Subject;SH;Aufklärung;historiographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden ;Ethnologie;*geht das als Subjekt?;
82;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;[Die Aufklärungshistoriographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.] In der Tat stellt sich z. B. die <e2>Encyclopédie</e2><rel> explizit in </rel><e1>Diderot</e1>s Artikel »encyclopédie«, entschieden auf einen anthropozentrischen Standpunkt und wenige Jahre zuvor, 1749, erscheint Buffons Histoire naturelle de l’homme.;Denis Diderot author Encyclopédie;author;SH;Diderot; explizit in ;Encyclopédie;;RSU
83;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;[Die Aufklärungshistoriographie hat den Begriff einer ›<e2>anthropologischen Wende</e2><rel> um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.] In der Tat stellt sich z. B. die </rel><e1>Encyclopédie</e1>, explizit in Diderots Artikel »encyclopédie«, entschieden auf einen anthropozentrischen Standpunkt und wenige Jahre zuvor, 1749, erscheint Buffons Histoire naturelle de l’homme.;Encyclopédie describedAs anthropozentrisch;describedAs;SH;Encyclopédie; um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.] In der Tat stellt sich z. B. die ;anthropologischen Wende;;
84;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;[Die Aufklärungshistoriographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.] In der Tat stellt sich z. B. die Encyclopédie, explizit in Diderots Artikel »encyclopédie«, entschieden auf einen anthropozentrischen Standpunkt und wenige Jahre zuvor, 1749, erscheint <e1>Buffon</e1>s Histoire naturelle de l’homme.;Buffon author Histoire naturelle de l‘homme;author;SH;Buffon;;Not Found;;RTS
85;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;[Die Aufklärungshistoriographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den Menschen als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.] In der Tat stellt sich z. B. die Encyclopédie, explizit in Diderots Artikel »encyclopédie«, entschieden auf einen anthropozentrischen Standpunkt und wenige Jahre zuvor, <e2>1749</e2><rel> erscheint Buffons </rel><e1>Histoire naturelle de l’homme</e1> .;Histoire naturelle de l‘homme date of publication 1749;date of publication;SH;Histoire naturelle de l’homme; erscheint Buffons ;1749;;
86;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;198;[Die Aufklärungshistoriographie hat den Begriff einer ›anthropologischen Wende‹ um 1750 geprägt, welche den <e2>Menschen</e2><rel>als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.] In der Tat stellt sich z. B. die Encyclopédie, explizit in Diderots Artikel »encyclopédie«, entschieden auf einen anthropozentrischen Standpunkt und wenige Jahre zuvor, 1749, erscheint Buffons </rel><e1>Histoire naturelle de l’homme</e1>.;Histoire naturelle de l‘homme main Subject Mensch*;main Subject;SH;Histoire naturelle de l’homme;als Gattungswesen zentral ins Blickfeld gerückt und ein Feld anthropologischer Disziplinen ausgemessen habe, das von der Medizin und Psychologie bis zur vergleichenden Ethnologie reicht.] In der Tat stellt sich z. B. die Encyclopédie, explizit in Diderots Artikel »encyclopédie«, entschieden auf einen anthropozentrischen Standpunkt und wenige Jahre zuvor, 1749, erscheint Buffons ;Menschen;*wird durch Vorsatz impliziert;
87;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;"In dieser Phase der Hochaufklärung pflegen die Länder Europas einen noch intensiveren Austausch als zuvor; man denke etwa an die Präsenz <e1>Shaftesbury</e1>s, Laurence Sternes und David Humes in Frankreich, an die französische Rezeption der Leibniz-Wolffschen Schulphilosophie, an ein europäisches Phänomen wie das bürgerliche Trauerspiel, an den Erfolg des französischen Sensualismus in Italien, an die Etablierung einer autonomen Wissenschaft der Ästhetik oder an die europaweite Präsenz des Naturrechts.";Shaftesbury HasDistribution „high“*;HasDistribution;SH;Shaftesbury;;Not Found;*in Frankreich;ZZZ
88;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;"In dieser Phase der Hochaufklärung pflegen die Länder Europas einen noch intensiveren Austausch als zuvor; man denke etwa an die Präsenz Shaftesburys, <e1>Laurence Sterne</e1>s und David Humes in Frankreich, an die französische Rezeption der Leibniz-Wolffschen Schulphilosophie, an ein europäisches Phänomen wie das bürgerliche Trauerspiel, an den Erfolg des französischen Sensualismus in Italien, an die Etablierung einer autonomen Wissenschaft der Ästhetik oder an die europaweite Präsenz des Naturrechts.";Laurence Sterne HasDistribution „high“*;HasDistribution;SH;Laurence Sterne;;Not Found;*in Frankreich;ZZZ
89;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;"In dieser Phase der Hochaufklärung pflegen die Länder Europas einen noch intensiveren Austausch als zuvor; man denke etwa an die Präsenz Shaftesburys, Laurence Sternes und <e1>David Hume</e1>s in Frankreich, an die französische Rezeption der Leibniz-Wolffschen Schulphilosophie, an ein europäisches Phänomen wie das bürgerliche Trauerspiel, an den Erfolg des französischen Sensualismus in Italien, an die Etablierung einer autonomen Wissenschaft der Ästhetik oder an die europaweite Präsenz des Naturrechts.";David Hume HasDistribution „high“*;HasDistribution;SH;David Hume;;Not Found;*in Frankreich;ZZZ
90;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;"In dieser Phase der Hochaufklärung pflegen die Länder Europas einen noch intensiveren Austausch als zuvor; man denke etwa an die Präsenz Shaftesburys, Laurence Sternes und David Humes in Frankreich, an die französische Rezeption der Leibniz-Wolffschen <e2>Schulphilosophie</e2>, an ein europäisches Phänomen wie das bürgerliche Trauerspiel, an den Erfolg des französischen Sensualismus in Italien, an die Etablierung einer autonomen Wissenschaft der Ästhetik oder an die europaweite Präsenz des Naturrechts.";Volk HAT REZIPIERT Leibniz-Wolffsche Schulphilosophie;HAT REZIPIERT;SH;Not Foundz;;Schulphilosophie;;ND
91;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die <e2>Hochaufklärung</e2><rel>fallen zentrale Schriften </rel><e1>Diderot</e1>s, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).;Denis Diderot Epoche Hochaufklärung;Epoche;SH;Diderot;fallen zentrale Schriften ;Hochaufklärung;;
92;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die <e2>Hochaufklärung</e2><rel>fallen zentrale Schriften Diderots, </rel><e1>Rousseau</e1>s, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).;Rousseau Epoche Hochaufklärung;Epoche;SH;Rousseau;fallen zentrale Schriften Diderots, ;Hochaufklärung;;
93;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die <e2>Hochaufklärung</e2><rel>fallen zentrale Schriften Diderots, Rousseaus, </rel><e1>Turgot</e1>s, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).;Turgot Epoche Hochaufklärung;Epoche;SH;Turgot;fallen zentrale Schriften Diderots, Rousseaus, ;Hochaufklärung;;
94;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die <e2>Hochaufklärung</e2> <rel>fallen zentrale Schriften Diderots, Rousseaus, Turgots,</rel> <e2>d’Alemberts</e2>, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).;d‘Alembert Epoche Hochaufklärung;Epoche;SH;d’Alemberts;fallen zentrale Schriften Diderots, Rousseaus, Turgots,;Hochaufklärung;;
95;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die <e2>Hochaufklärung</e2><rel>fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, </rel><e1>Helvétius</e1>’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).;Helvétius Epoche Hochaufklärung;Epoche;SH;Helvétius;fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, ;Hochaufklärung;;
96;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die <e2>Hochaufklärung</e2><rel>fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie </rel><e1>Voltaire</e1>s Candide (1759).;Voltaire Epoche Hochaufklärung;Epoche;SH;Voltaire;fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie ;Hochaufklärung;;
97;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie <e1>Voltaire</e1><rel> </rel><e2>Candide</e2> (1759).;Voltaire author Candide;author;SH;Voltaire; ;Candide;;RTS
98;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires <e1>Candide</e1><rel>(</rel><e2>1759</e2>).;Candide date of publication 1759;date of publication;SH;Candide;(;1759;;RTS
99;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so <e2>bedeutende Einzelwerke</e2><rel>wie Voltaires </rel><e1>Candide</e1> (1759).;Candide describedAs bedeutend;describedAs;SH;Candide;wie Voltaires ;bedeutende Einzelwerke;;
100;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die <e2>Hochaufklärung</e2><rel>fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen politischen Philosophie des 18. Jh.s, </rel><e1>Montesquieu</e1>s De l’esprit des lois (1748) und Rousseaus Du contrat social (1762), sind dieser Zeit zuzurechnen.;Montesquieu Epoche Hochaufklärung;Epoche;SH;Montesquieu;fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen politischen Philosophie des 18. Jh.s, ;Hochaufklärung;;
101;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen politischen Philosophie des 18. Jh.s, <e1>Montesquieu</e1><rel> De l’esprit </rel><e2>des lois</e2> (1748) und Rousseaus Du contrat social (1762), sind dieser Zeit zuzurechnen.;Montesquieu author De l‘esprit des lois;author;SH;Montesquieu; De l’esprit ;des lois;;RTS
102;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen politischen Philosophie des 18. Jh.s, Montesquieus De l’esprit <e1>des lois</e1><rel>(</rel><e2>1748</e2>) und Rousseaus Du contrat social (1762), sind dieser Zeit zuzurechnen.;De l‘esprit des lois date of publication 1748;date of publication;SH;des lois;(;1748;;RTS
103;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen <e2>politischen Philosophie</e2><rel>des 18. Jh.s, Montesquieus</rel> <e1>De l’esprit des lois</e1> (1748) und Rousseaus Du contrat social (1762), sind dieser Zeit zuzurechnen.;De l‘esprit des lois describedAs politisch;describedAs;SH;De l’esprit des lois;des 18. Jh.s, Montesquieus  ;politischen Philosophie;;
104;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit <e2>einflussreichsten Hauptwerke</e2><rel>der französischen politischen Philosophie des 18. Jh.s, Montesquieus</rel> <e1>De l’esprit des lois</e1> (1748) und Rousseaus Du contrat social (1762), sind dieser Zeit zuzurechnen.;De l‘esprit des lois describedAs einflussreich;describedAs;SH;De l’esprit des lois;der französischen politischen Philosophie des 18. Jh.s, Montesquieus ;einflussreichsten Hauptwerke;;
105;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, <e1>Rousseau</e1><rel>, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen politischen Philosophie des 18. Jh.s, Montesquieus De l’esprit des lois (1748) und Rousseaus </rel><e2>Du contrat social</e2> (1762), sind dieser Zeit zuzurechnen.;Rousseau author Du contrat social;author;SH;Rousseau;, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen politischen Philosophie des 18. Jh.s, Montesquieus De l’esprit des lois (1748) und Rousseaus ;Du contrat social;;
106;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen politischen Philosophie des 18. Jh.s, Montesquieus De l’esprit des lois (1748) und Rousseaus <e1>Du contrat social</e1><rel>(</rel><e2>1762</e2>), sind dieser Zeit zuzurechnen.;Du contrat social date of publication 1762;date of publication;SH;Du contrat social;(;1762;;RTS
107;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit einflussreichsten Hauptwerke der französischen <e2>politischen Philosophie</e2><rel>des 18. Jh.s, Montesquieus De l’esprit des lois (1748) und Rousseaus </rel><e1>Du contrat social</e1> (1762), sind dieser Zeit zuzurechnen.;Du contrat social describedAs politisch;describedAs;SH;Du contrat social;des 18. Jh.s, Montesquieus De l’esprit des lois (1748) und Rousseaus ;politischen Philosophie;;
108;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[In die Hochaufklärung fallen zentrale Schriften Diderots, Rousseaus, Turgots, d’Alemberts, Helvétius’ und so bedeutende Einzelwerke wie Voltaires Candide (1759).] Auch die europaweit <e2>einflussreichsten Hauptwerke</e2><rel>der französischen politischen Philosophie des 18. Jh.s, Montesquieus De l’esprit des lois (1748) und Rousseaus </rel><e1>Du contrat social</e1> (1762), sind dieser Zeit zuzurechnen.;Du contrat social describedAs einflussreich;describedAs;SH;Du contrat social;der französischen politischen Philosophie des 18. Jh.s, Montesquieus De l’esprit des lois (1748) und Rousseaus ;einflussreichsten Hauptwerke;;
109;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;Schließlich erfolgt eine Umkehrung aufklärerischer <e2>Ästhetik</e2><rel>und Ethik im Werk des </rel><e1>Marquis de Sade</e1>.;Marquis de Sade IsOpposedTo aufklärerische Ästhetik?;IsOpposedTo;SH;Marquis de Sade;und Ethik im Werk des ;Ästhetik;;RSU
110;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;Schließlich erfolgt eine Umkehrung aufklärerischer Ästhetik und <e2>Ethik</e2><rel>im Werk des </rel><e1>Marquis de Sade</e1>.;Marquis de Sade IsOpposedTo aufklärerische Ethik?;IsOpposedTo;SH;Marquis de Sade;im Werk des ;Ethik;;RSU
111;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;[Charakteristisch für die fortgeschrittene Aufklärung ist eine Rückbesinnung auf und Verständigung über das Aufklärungsprojekt als solches (›Selbstaufklärung der Aufklärung‹).] Diesbezüglich spielt <e1>Rousseau</e1><rel> Zivilisations- und Aufklärungs</rel><e2>skepsis</e2> eine zentrale Rolle.;Rousseau has quality „skeptisch“;has quality;SH;Rousseau; Zivilisations- und Aufklärungs;skepsis;;
112;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;<e1>Kant</e1><rel> </rel><e2>Beantwortung der Frage: Was ist Aufklärung</e2>? (1784) liefert die bis heute meistzitierte Definition: »Aufklärung ist der Ausgang des Menschen aus seiner selbst verschuldeten Unmündigkeit.«;Immanuel Kant author Beantwortung der Frage: Was ist Aufklärung?;author;SH;Kant; ;Beantwortung der Frage: Was ist Aufklärung;;RTS
113;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;Kants <e1>Beantwortung der Frage: Was ist Aufklärung</e1><rel> (</rel><e2>1784</e2>) liefert die bis heute meistzitierte Definition: »Aufklärung ist der Ausgang des Menschen aus seiner selbst verschuldeten Unmündigkeit.«;Beantwortung der Frage: Was ist Aufklärung? date of publication 1784;date of publication;SH;Beantwortung der Frage: Was ist Aufklärung; (;1784;;RTS
114;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;Kants <e1>Beantwortung der Frage: Was ist Aufklärung</e1><rel> (1784) liefert die bis heute </rel><e2>meistzitierte Definition</e2>: »Aufklärung ist der Ausgang des Menschen aus seiner selbst verschuldeten Unmündigkeit.«;Beantwortung der Frage: Was ist Aufklärung? describedAs meistzitiert;describedAs;SH;Beantwortung der Frage: Was ist Aufklärung; (1784) liefert die bis heute ;meistzitierte Definition;;
115;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;Kants <e1>Beantwortung der Frage: Was ist Aufklärung</e1><rel> (1784) liefert die bis heute meistzitierte</rel> <e2>Definition</e2>: »Aufklärung ist der Ausgang des Menschen aus seiner selbst verschuldeten Unmündigkeit.«;Beantwortung der Frage: Was ist Aufklärung? describedAs* Definition;describedAs;SH;Beantwortung der Frage: Was ist Aufklärung; (1784) liefert die bis heute meistzitierte;Definition;*Genre?;
116;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;<e1>Kant</e1><rel> Beantwortung der Frage: Was ist </rel><e2>Aufklärung</e2>? (1784) liefert die bis heute meistzitierte Definition: »Aufklärung ist der Ausgang des Menschen aus seiner selbst verschuldeten Unmündigkeit.«;Immanuel Kant MACHT AUSSAGE ÜBER Aufklärung;MACHT AUSSAGE ÜBER;SH;Kant; Beantwortung der Frage: Was ist ;Aufklärung;;RSU
117;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;<e1>Locke</e1><rel>hatte 1697 mit seinem Essay </rel><e2>Of the conduct of the understanding</e2> ein frühes Manifest aufklärerischer Epistemologie und Methodologie verfasst, und ein Essay Kants greift die Fragestellung am Ausgang der Aufklärung 1786 noch einmal auf: Was heißt: Sich im Denken orientieren?;John Locke author Of the conduct of the understanding;author;SH;Locke;hatte 1697 mit seinem Essay ;Of the conduct of the understanding;;
118;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;Locke hatte <e2>1697</e2><rel>mit seinem Essay </rel><e1>Of the conduct of the understanding</e1> ein frühes Manifest aufklärerischer Epistemologie und Methodologie verfasst, und ein Essay Kants greift die Fragestellung am Ausgang der Aufklärung 1786 noch einmal auf: Was heißt: Sich im Denken orientieren?;Of the conduct of the understanding date of publication 1697;date of publication;SH;Of the conduct of the understanding;mit seinem Essay ;1697;;
119;"Grimm, Jürgen; Hartwig, Susanne";Französische Literaturgeschichte. Von der Aufklärung bis zur Französischen Revolution.;199;Locke hatte 1697 mit seinem <e2>Essay</e2><rel></rel><e1>Of the conduct of the understanding</e1> ein frühes Manifest aufklärerischer Epistemologie und Methodologie verfasst, und ein Essay Kants greift die Fragestellung am Ausgang der Aufklärung 1786 noch einmal auf: Was heißt: Sich im Denken orientieren?;Of the conduct of the understanding Genre Essay;Genre;SH;Of the conduct of the understanding;;Essay;;RTS
