Autor;Titel;Seite;Passage;Aussage;Code des Typs;Annotator/in;Anmerkung;E1;Relation;E2;POST
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;"Dies wird im Artikel ""Propriété"" aus den <e2>Questions sur l'Encyclopédie</e2> von 1771 deutlich.";Voltaire author Questions sur l'Encyclopédie;author;SH;;Not Foundz;;Questions sur l'Encyclopédie;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;"Dies wird im Artikel ""Propriété"" aus den <e1>Questions sur l'Encyclopédie</e1> von 1771 deutlich.";Questions sur l'Encyclopédie hasAuthor Voltaire;hasAuthor;SH;;Questions sur l'Encyclopédie;;Not Found;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;[<e1>D’Holbach</e1> <rel>entwickelt das dichotomische Gesellschaftsmodell im Sinn einer fdonoratiorenrepublik.] Die</rel> <e2>Ungleichheit</e2> des Eigentums begründet er mit der Stärke oder Schwäche der menschlichen Natur.;Paul Henri Thiry d'Holbach topicInterest Ungleichheit;topicInterest;SH;;D’Holbach;entwickelt das dichotomische Gesellschaftsmodell im Sinn einer fdonoratiorenrepublik.] Die;Ungleichheit;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;[<e1>D’Holbach</e1> <rel>entwickelt das dichotomische Gesellschaftsmodell im Sinn einer fdonoratiorenrepublik.] Die Ungleichheit des</rel> <e2>Eigentums</e2> begründet er mit der Stärke oder Schwäche der menschlichen Natur.;Paul Henri Thiry d'Holbach topicInterest Eigentum;topicInterest;SH;;D’Holbach;entwickelt das dichotomische Gesellschaftsmodell im Sinn einer fdonoratiorenrepublik.] Die Ungleichheit des;Eigentums;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;[<e1>D’Holbach</e1> <rel>entwickelt das dichotomische Gesellschaftsmodell im Sinn einer fdonoratiorenrepublik.] Die Ungleichheit des Eigentums begründet er mit der Stärke oder Schwäche der</rel> <e2>menschlichen Natur</e2>.;Paul Henri Thiry d'Holbach topicInterest Mensch;topicInterest;SH;;D’Holbach;entwickelt das dichotomische Gesellschaftsmodell im Sinn einer fdonoratiorenrepublik.] Die Ungleichheit des Eigentums begründet er mit der Stärke oder Schwäche der;menschlichen Natur;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;<e1>Voltaire</e1><rel>hat die eher verschleiernde als erklärende Simplifizierung d’Holbachs vermieden, insofern er den Ursprung der </rel><e2>Ungleichheit</e2> sowohl in der gesellschaftlichen Struktur der Abhängigkeit als auch in einer psychologischen Anlage gesucht hat.;Voltaire topicInterest Ungleichheit;topicInterest;SH;;Voltaire;hat die eher verschleiernde als erklärende Simplifizierung d’Holbachs vermieden, insofern er den Ursprung der ;Ungleichheit;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;<e1>Voltaire</e1><rel>hat die eher verschleiernde als erklärende Simplifizierung d’Holbachs vermieden, insofern er den Ursprung der Ungleichheit sowohl in der </rel><e2>gesellschaftlichen Struktur</e2> der Abhängigkeit als auch in einer psychologischen Anlage gesucht hat.;Voltaire topicInterest Gesellschaftskritik;topicInterest;SH;;Voltaire;hat die eher verschleiernde als erklärende Simplifizierung d’Holbachs vermieden, insofern er den Ursprung der Ungleichheit sowohl in der ;gesellschaftlichen Struktur;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339;<e1>Voltaire</e1> <rel>hat die eher verschleiernde als erklärende Simplifizierung d’Holbachs vermieden, insofern er den Ursprung der Ungleichheit sowohl in der</rel> <e2>gesellschaftlichen Struktur</e2> der Abhängigkeit als auch in einer psychologischen Anlage gesucht hat.;Voltaire topicInterest Mensch*;topicInterest;SH;*Psychologie, menschl. Verhalten besser? Vielleicht zu spezifisch;Voltaire;hat die eher verschleiernde als erklärende Simplifizierung d’Holbachs vermieden, insofern er den Ursprung der Ungleichheit sowohl in der;gesellschaftlichen Struktur;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339-340;Der Anspruch auf die echte Staatsbürgerschaft wird sich in der politischen Praxis als Wahlzensus niederschlagen. Diesen propagiert <e1>Emmanuel Sieyès</e1><rel> In seiner häufig zitierten Schrift </rel><e2>Was ist der dritte Stand</e2>? von 1789 stellt er einen ihm natürlich erscheinenden Negativ-Katalog der Nicht-Bürger auf, der Nicht-Wähler und Nichtwählbaren: Frauen, Vagabunden, Bettler, Domestiken, alle die von einem Herrn abhängen, Ausländer.;Emmanuel Sieyès author Was ist der dritte Stand?;author;SH;;Emmanuel Sieyès; In seiner häufig zitierten Schrift ;Was ist der dritte Stand;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339-340;Der Anspruch auf die echte Staatsbürgerschaft wird sich in der politischen Praxis als Wahlzensus niederschlagen. Diesen propagiert <e2>Emmanuel Sieyès</e2><rel> In seiner häufig zitierten Schrift </rel><e1>Was ist der dritte Stand</e1>? von 1789 stellt er einen ihm natürlich erscheinenden Negativ-Katalog der Nicht-Bürger auf, der Nicht-Wähler und Nichtwählbaren: Frauen, Vagabunden, Bettler, Domestiken, alle die von einem Herrn abhängen, Ausländer.;Was ist der dritte Stand? hasAuthor Emmanuel Sieyès;hasAuthor;SH;;Was ist der dritte Stand; In seiner häufig zitierten Schrift ;Emmanuel Sieyès;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339-340;Der Anspruch auf die echte <e2>Staatsbürgerschaft</e2><rel>wird sich in der politischen Praxis als Wahlzensus niederschlagen. Diesen propagiert </rel><e1>Emmanuel Sieyès</e1>. In seiner häufig zitierten Schrift Was ist der dritte Stand? von 1789 stellt er einen ihm natürlich erscheinenden Negativ-Katalog der Nicht-Bürger auf, der Nicht-Wähler und Nichtwählbaren: Frauen, Vagabunden, Bettler, Domestiken, alle die von einem Herrn abhängen, Ausländer.;Emmanuel Sieyès topicInterest Staat*;topicInterest;SH;"*Staatsbürgerschaft?; Wahl?";Emmanuel Sieyès;wird sich in der politischen Praxis als Wahlzensus niederschlagen. Diesen propagiert ;Staatsbürgerschaft;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339-340;Der Anspruch auf die echte Staatsbürgerschaft wird sich in der <e2>politischen Praxis</e2><rel>als Wahlzensus niederschlagen. Diesen propagiert </rel><e1>Emmanuel Sieyès</e1>. In seiner häufig zitierten Schrift Was ist der dritte Stand? von 1789 stellt er einen ihm natürlich erscheinenden Negativ-Katalog der Nicht-Bürger auf, der Nicht-Wähler und Nichtwählbaren: Frauen, Vagabunden, Bettler, Domestiken, alle die von einem Herrn abhängen, Ausländer.;Emmanuel Sieyès topicInterest Politik;topicInterest;SH;;Emmanuel Sieyès;als Wahlzensus niederschlagen. Diesen propagiert ;politischen Praxis;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339-340;Der Anspruch auf die echte <e2>Staatsbürgerschaft</e2><rel>wird sich in der politischen Praxis als Wahlzensus niederschlagen. Diesen propagiert Emmanuel Sieyès. In seiner häufig zitierten Schrift </rel><e1>Was ist der dritte Stand</e1>? von 1789 stellt er einen ihm natürlich erscheinenden Negativ-Katalog der Nicht-Bürger auf, der Nicht-Wähler und Nichtwählbaren: Frauen, Vagabunden, Bettler, Domestiken, alle die von einem Herrn abhängen, Ausländer.;Was ist der dritte Stand? about Staat*;about;SH;"""";Was ist der dritte Stand;wird sich in der politischen Praxis als Wahlzensus niederschlagen. Diesen propagiert Emmanuel Sieyès. In seiner häufig zitierten Schrift ;Staatsbürgerschaft;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;339-340;Der Anspruch auf die echte Staatsbürgerschaft wird sich in der <e2>politischen Praxis</e2><rel>als Wahlzensus niederschlagen. Diesen propagiert Emmanuel Sieyès. In seiner häufig zitierten Schrift </rel><e1>Was ist der dritte Stand</e1>? von 1789 stellt er einen ihm natürlich erscheinenden Negativ-Katalog der Nicht-Bürger auf, der Nicht-Wähler und Nichtwählbaren: Frauen, Vagabunden, Bettler, Domestiken, alle die von einem Herrn abhängen, Ausländer.;Was ist der dritte Stand? about Politik;about;SH;;Was ist der dritte Stand;als Wahlzensus niederschlagen. Diesen propagiert Emmanuel Sieyès. In seiner häufig zitierten Schrift ;politischen Praxis;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340;Der Verfasser des Artikels »Peuple« aus der <e1>Encyclopédie</e1> <rel>hat die sozialgeschichtliche Differenzierung des dritten Standes analysiert und läßt uns bereits die sozialen Konflikte ahnen, die nach der Erringung der</rel> <e2>bürgerlichen Gleichheit</e2> die Interessensolidarität zwischen den verschiedenen Schichten des dritten Standes zerstören werden.;Encyclopédie about einfaches Volk;about;SH;;Encyclopédie;hat die sozialgeschichtliche Differenzierung des dritten Standes analysiert und läßt uns bereits die sozialen Konflikte ahnen, die nach der Erringung der;bürgerlichen Gleichheit;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340;Der Verfasser des Artikels »Peuple« aus der <e1>Encyclopédie</e1> hat die sozialgeschichtliche Differenzierung des dritten Standes analysiert und läßt uns bereits die sozialen Konflikte ahnen, die nach der Erringung der bürgerlichen Gleichheit die Interessensolidarität zwischen den verschiedenen Schichten des dritten Standes zerstören werden.;Encyclopédie about Stände;about;SH;;Encyclopédie;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340;Das <e2>Volk</e2> <rel>bestehe, so meint der Verfasser unseres</rel> <e1>Artikels</e1>, nur mehr aus den »laboureurs« und den »ouvriers«.;Encyclopédie about Volk;about;SH;;Artikels;bestehe, so meint der Verfasser unseres;Volk;ZZZ
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340;Die Distanz zwischen dem Großbürger und dem »Arbeiter« wird an der Mühsal des Arbeitstages, an der physischen Verelendung und an seiner Unentbehrlichkeit gemessen: »on a besoin de sa force«.;Encyclopédie about Ungleichheit;about;SH;;Not Foundz;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340;Die Distanz zwischen dem Großbürger und dem »<e2>Arbeiter</e2>« wird an der Mühsal des Arbeitstages, an der physischen Verelendung und an seiner Unentbehrlichkeit gemessen: »on a besoin de sa force«.;Encyclopédie about Arbeit*;about;SH;*eigentlich Arbeiter od. nochmal Volk?;Not Foundz;;Arbeiter;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340;Der andere Vertreter des echten Volkes, der »laboureur«, ist der Großbauer, der »coq de village«. Die konkreten Klagen, die aus seiner Perspektive erhoben werden, die niedlich idealisierte Skizze des <e2>Landlebens</e2> (»Colas épouse Colette«) veranschaulichen, daß die ökonomischen Vorstellungen der Aufklärer in erster Linie um die Landwirtschaft kreisen.;Encyclopédie about Landleben*;about;SH;*neues Thema;Not Foundz;;Landlebens;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340;Der andere Vertreter des echten Volkes, der »laboureur«, ist der Großbauer, der »coq de village«. Die konkreten Klagen, die aus seiner Perspektive erhoben werden, die niedlich idealisierte Skizze des <e2>Landlebens</e2> (»Colas épouse Colette«) veranschaulichen, daß die ökonomischen Vorstellungen der Aufklärer in erster Linie um die Landwirtschaft kreisen.;Encyclopédie about Landwirtschaft;about;SH;;Not Foundz;;Landlebens;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340-341;"Was diese Gruppe der Landbesitzer bedrückt, sind strukturelle Mißstände, die mit der Revolution auch weggeräumt werden: Der privilegierte Status des Adels (»la hauteur des grands, l’insolence des riches«); das disproportionale und <e2>ungerechte Steuersystem</e2> (»le brigandage des traitants«) - die direkten Steuern belasten praktisch ausschließlich den dritten Stand; die Binnenzölle (»le pillage des commis«) - ein volkswirtschaftlicher Unsinn aus der Sicht derjenigen, die ihre Waren und Produkte in Frankreich verkaufen wollen [44]; feudalherrliches Jagdrecht und der dadurch verursachte Flurschaden (»le ravage des bêtes fauves«).";Encyclopédie about Ungerechtigkeit;about;SH;;Not Foundz;;ungerechte Steuersystem;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;340-341;"Was diese Gruppe der Landbesitzer bedrückt, sind strukturelle Mißstände, die mit der Revolution auch weggeräumt werden: Der privilegierte Status des Adels (»la hauteur des grands, l’insolence des riches«); das disproportionale und ungerechte Steuersystem (»le brigandage des traitants«) - die direkten Steuern belasten praktisch ausschließlich den dritten Stand; die Binnenzölle (»le pillage des commis«) - ein volkswirtschaftlicher Unsinn aus der Sicht derjenigen, die ihre Waren und Produkte in Frankreich verkaufen wollen [44]; feudalherrliches Jagdrecht und der dadurch verursachte Flurschaden (»le ravage des bêtes fauves«).";Encyclopédie about Finanzen;about;SH;;Not Foundz;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"Der ""laboureur"" verfügt, wenn auch noch nicht ohne Sorgen und Einschränkungen, über <e2>Eigentum</e2>; er zeichnet sich vor dem schlechtgenährten und erschöpften ""ouvrier"" außerdem durch einige Tugenden aus: ""sobre, juste, fidèle, religieux"".";Encyclopédie about Eigentum;about;SH;;Not Foundz;;Eigentum;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"Aus den angeführten Disharmonien innerhalb des dritten Standes leitet der Verfasser noch nicht - wie später Marat oder Babeuf - sozialrevolutionäre Forderungen ab; er orientiert sich an der Reformidee, daß der Wohlstand der Nicht-Priviligierten des Ancien Régime gefördert werden müsse. Das niedere Volk [46], ""le petit peuple"", sei fleißig, sofern man ihm ein gewisses Wohlergehen (""aisance"") verschaffe; außerdem sei es königstreu: Gehe es dem Volk, also ""laboureurs"" und ""ouvriers"", gut, so blühe auch das Staatswesen.";Encyclopédie about Gesellschaftskritik;about;SH;;Not Foundz;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"Aus den angeführten Disharmonien innerhalb des dritten Standes leitet der Verfasser noch nicht - wie später <e1>Marat</e1> oder Babeuf - sozialrevolutionäre Forderungen ab; er orientiert sich an der Reformidee, daß der Wohlstand der Nicht-Priviligierten des Ancien Régime gefördert werden müsse. Das niedere Volk [46], ""le petit peuple"", sei fleißig, sofern man ihm ein gewisses Wohlergehen (""aisance"") verschaffe; außerdem sei es königstreu: Gehe es dem Volk, also ""laboureurs"" und ""ouvriers"", gut, so blühe auch das Staatswesen.";Jean Paul Marat topicInterest Gesellschaftskritik;topicInterest;SH;;Marat;;Not Found;RTS
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"Aus den angeführten Disharmonien innerhalb des dritten Standes leitet der Verfasser noch nicht - wie später Marat oder <e1>Babeuf</e1> - sozialrevolutionäre Forderungen ab; er orientiert sich an der Reformidee, daß der Wohlstand der Nicht-Priviligierten des Ancien Régime gefördert werden müsse. Das niedere Volk [46], ""le petit peuple"", sei fleißig, sofern man ihm ein gewisses Wohlergehen (""aisance"") verschaffe; außerdem sei es königstreu: Gehe es dem Volk, also ""laboureurs"" und ""ouvriers"", gut, so blühe auch das Staatswesen.";François Noël Babeuf topicInterest Gesellschaftskritik;topicInterest;SH;;Babeuf;;Not Found;RTS
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"Aus den angeführten Disharmonien innerhalb des dritten Standes leitet der Verfasser noch nicht - wie später Marat oder Babeuf - sozialrevolutionäre Forderungen ab; er orientiert sich an der Reformidee, daß der Wohlstand der Nicht-Priviligierten des Ancien Régime gefördert werden müsse. Das niedere <e2>Volk</e2> [46], ""le petit peuple"", sei fleißig, sofern man ihm ein gewisses Wohlergehen (""aisance"") verschaffe; außerdem sei es königstreu: Gehe es dem Volk, also ""laboureurs"" und ""ouvriers"", gut, so blühe auch das Staatswesen.";Encyclopédie about einfaches Volk;about;SH;;Not Foundz;;Volk;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"Aus den angeführten Disharmonien innerhalb des dritten Standes leitet der Verfasser noch nicht - wie später Marat oder Babeuf - sozialrevolutionäre Forderungen ab; er orientiert sich an der Reformidee, daß der Wohlstand der Nicht-Priviligierten des Ancien Régime gefördert werden müsse. Das niedere Volk [46], ""le petit peuple"", sei fleißig, sofern man ihm ein gewisses Wohlergehen (""aisance"") verschaffe; außerdem sei es königstreu: Gehe es dem Volk, also ""laboureurs"" und ""ouvriers"", gut, so blühe auch das <e2>Staatswesen</e2>.";Encyclopédie about Staat;about;SH;;Not Foundz;;Staatswesen;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"<e1>Montesquieu</e1><rel>(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, </rel><e2>Traditionen</e2> und Vorurteile einem vornehmen Reisenden aus dem Orient überträgt; er fügt dieser verfremdenden Perspektive eine zweite hinzu, indem auch der Perser sich von seiner eigenen kulturellen Tradition distanziert, sie in Frage stellt und einer philosophischen Prüfung unterzieht.";Montesquieu topicInterest Tradition;topicInterest;SH;;Montesquieu;(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, ;Traditionen;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"<e1>Montesquieu</e1><rel>(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und </rel><e2>Vorurteile</e2> einem vornehmen Reisenden aus dem Orient überträgt; er fügt dieser verfremdenden Perspektive eine zweite hinzu, indem auch der Perser sich von seiner eigenen kulturellen Tradition distanziert, sie in Frage stellt und einer philosophischen Prüfung unterzieht.";Montesquieu topicInterest Vorurteile;topicInterest;SH;;Montesquieu;(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und ;Vorurteile;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"<e1>Montesquieu</e1><rel>(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und Vorurteile einem vornehmen Reisenden aus dem </rel><e2>Orient</e2> überträgt; er fügt dieser verfremdenden Perspektive eine zweite hinzu, indem auch der Perser sich von seiner eigenen kulturellen Tradition distanziert, sie in Frage stellt und einer philosophischen Prüfung unterzieht.";Montesquieu topicInterest Orient;topicInterest;SH;;Montesquieu;(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und Vorurteile einem vornehmen Reisenden aus dem ;Orient;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"<e1>Montesquieu</e1><rel>(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und Vorurteile einem vornehmen Reisenden aus dem Orient überträgt; er fügt dieser </rel><e2>verfremdenden Perspektive</e2> eine zweite hinzu, indem auch der Perser sich von seiner eigenen kulturellen Tradition distanziert, sie in Frage stellt und einer philosophischen Prüfung unterzieht.";Montesquieu topicInterest Fremdheit;topicInterest;SH;;Montesquieu;"(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und Vorurteile einem vornehmen Reisenden aus dem Orient überträgt; er fügt dieser";verfremdenden Perspektive;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;"<e1>Montesquieu</e1><rel>(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und Vorurteile einem vornehmen Reisenden aus dem Orient überträgt; er fügt dieser verfremdenden Perspektive eine zweite hinzu, indem auch der Perser sich von seiner eigenen kulturellen Tradition distanziert, sie in Frage stellt und einer </rel><e2>philosophischen Prüfung</e2> unterzieht.";Montesquieu topicInterest Philosophie;topicInterest;SH;;Montesquieu;"(1689-1755) hat diese Möglichkeiten voll genutzt, indem er die Beschreibung der französischen Zustände, Traditionen und Vorurteile einem vornehmen Reisenden aus dem Orient überträgt; er fügt dieser verfremdenden Perspektive eine zweite hinzu, indem auch der Perser sich von seiner eigenen kulturellen Tradition distanziert, sie in Frage stellt und einer ";philosophischen Prüfung;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;Mit welchem Geschick und Erfolg <e1>Montesquieu</e1><rel>die verfremdende Darstellung der französischen Zustände handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der </rel><e2>Lettres persanes</e2> [49] zeigen.;Montesquieu author Lettres persanes;author;SH;;Montesquieu;die verfremdende Darstellung der französischen Zustände handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der ;Lettres persanes;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;Mit welchem Geschick und Erfolg <e2>Montesquieu</e2><rel>die verfremdende Darstellung der französischen Zustände handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der </rel><e1>Lettres persanes</e1> [49] zeigen.;Lettres persanes hasAuthor Montesquieu;hasAuthor;SH;;Lettres persanes;die verfremdende Darstellung der französischen Zustände handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der ;Montesquieu;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;Mit welchem Geschick und Erfolg <e1>Montesquieu</e1><rel>die ver</rel><e2>fremdende Darstellung</e2> der französischen Zustände handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der Lettres persanes [49] zeigen.;Montesquieu topicInterest Fremdheit;topicInterest;SH;;Montesquieu;die ver;fremdende Darstellung;RTS
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;Mit welchem Geschick und Erfolg <e1>Montesquieu</e1><rel>die verfremdende Darstellung der </rel><e2>französischen Zustände</e2> handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der Lettres persanes [49] zeigen.;Montesquieu topicInterest Frankreich;topicInterest;SH;;Montesquieu;die verfremdende Darstellung der ;französischen Zustände;
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;Mit welchem Geschick und Erfolg Montesquieu die <e2>verfremdende Darstellung</e2><rel>der französischen Zustände handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der </rel><e1>Lettres persanes</e1> [49] zeigen.;Lettres persanes about Fremdheit;about;SH;;Lettres persanes;der französischen Zustände handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der ;verfremdende Darstellung;RSU
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341;Mit welchem Geschick und Erfolg Montesquieu die verfremdende Darstellung der <e2>französischen Zustände</e2><rel>handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der </rel><e1>Lettres persanes</e1> [49] zeigen.;Lettres persanes about Frankreich;about;SH;;Lettres persanes;handhabt, möchte ich an einem Abschnitt aus dem XXIV. Brief der ;französischen Zustände;RSU
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341-342;Der Reisende gewahrt <e2>Macht</e2> und Reichtum des Königs von Frankreich auf der einen, die Ämterkäuflichkeit und den Verkauf von Adelstiteln auf der anderen Seite.;Montesquieu topicInterest Macht;topicInterest;SH;;Not Foundz;;Macht;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341-342;Der Reisende gewahrt Macht und <e2>Reichtum</e2> des Königs von Frankreich auf der einen, die Ämterkäuflichkeit und den Verkauf von Adelstiteln auf der anderen Seite.;Montesquieu topicInterest Reichtum;topicInterest;SH;;Not Foundz;;Reichtum;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341-342;Der Reisende gewahrt Macht und Reichtum des Königs von Frankreich auf der einen, die Ämterkäuflichkeit und den Verkauf von Adelstiteln auf der anderen Seite.;Montesquieu topicInterest Betrug*;topicInterest;SH;*Ämterkäuflichkeit -> Betrug;Not Foundz;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341-342;Der Reisende gewahrt Macht und Reichtum des Königs von Frankreich auf der einen, die Ämterkäuflichkeit und den Verkauf von Adelstiteln auf der anderen Seite.;Lettres persanes about Match;about;SH;;Not Found;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341-342;Der Reisende gewahrt Macht und <e2>Reichtum</e2> des Königs von Frankreich auf der einen, die Ämterkäuflichkeit und den Verkauf von Adelstiteln auf der anderen Seite.;Lettres persanes about Reichtum;about;SH;;Not Found;;Reichtum;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;341-342;Der Reisende gewahrt Macht und Reichtum des Königs von Frankreich auf der einen, die Ämterkäuflichkeit und den Verkauf von Adelstiteln auf der anderen Seite.;Lettres persanes about Betrug;about;SH;;Not Found;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;342;Es handelt sich insgesamt um eine klug dosierte sowie ironisch reflektierte Polemik gegen Ludwig XIV. Der Reisende, der — nach <e1>Montesquieus</e1> Verständnis — aus einem despotisch regierten Staatswesen kommt, entwirft, indem er scheinbar oberflächliche Impressionen miteinander kombiniert, ein Bild der Herrscherkunst des französischen Königs, in dem wir einige Merkmale des Zerfalls der Monarchie, also Wesenszüge des Despotismus entdecken.;Montesquieu topicInterest Kritik;topicInterest;SH;;Montesquieu;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;342;Es handelt sich insgesamt um eine klug dosierte sowie ironisch reflektierte Polemik gegen Ludwig XIV. Der Reisende, der — nach <e1>Montesquieu</e1>s Verständnis — aus einem despotisch regierten Staatswesen kommt, entwirft, indem er scheinbar oberflächliche Impressionen miteinander kombiniert, ein Bild der Herrscherkunst des französischen Königs, in dem wir einige Merkmale des Zerfalls der Monarchie, also Wesenszüge des Despotismus entdecken.;Montesquieu topicInterest Gesellschaftsproblematik*;topicInterest;SH;*oder gesellschaftliche Entw?;Montesquieu;;Not Found;ND
Peter Brockmeier;Die Kritik der Vorurteile in der französischen Literatur des 18. Jahrhunderts;342;Es handelt sich insgesamt um eine klug dosierte sowie ironisch reflektierte Polemik gegen Ludwig XIV. Der Reisende, der — nach <e1>Montesquieus</e1> <rel>Verständnis — aus einem despotisch regierten Staatswesen kommt, entwirft, indem er scheinbar oberflächliche Impressionen miteinander kombiniert, ein Bild der Herrscherkunst des französischen Königs, in dem wir einige Merkmale des Zerfalls der Monarchie, also Wesenszüge des</rel> <e2>Despotismus</e2> entdecken.;Montesquieu topicInterest Despotismus;topicInterest;SH;;Montesquieus;Verständnis — aus einem despotisch regierten Staatswesen kommt, entwirft, indem er scheinbar oberflächliche Impressionen miteinander kombiniert, ein Bild der Herrscherkunst des französischen Königs, in dem wir einige Merkmale des Zerfalls der Monarchie, also Wesenszüge des;Despotismus;
